TROCA DE TURNO 2026;;;;META  + ACUMULADO;SEP. TURNO A;SEP. TURNO B;SEP. TURNO C;SEP. TURNO D;FAT GM;FAT FM;FAT TRANSF.;FAT CACAU;FAT FOB;FAT GRANEL
;;;;1053423,99;2685420,144;2301731,58;103,835,00;11648187,41;37.991,03;82.732,00;0,00;1.750,50;0,00;26.150,00
;;;;;;;;;;;;;;
;;;;EQUIPAMENTO PARADO;;NF COM ERRO;CARRO EMBARCADO;;SEP GM;SEP FM;SEP TRANSF.;SEP CACAU;SEP FOB;
;;;;;;;;;43.796,62;82.732,00;0,00;1.246,00;0,00;
;;;;8,00;;0,00;8;;;;;;;
DATA;TURNO;RESP TURNO;PROGRAMAÇÃO;ROTA;MEDIDA;PLANEJADO;Executado;PERCENTUAL REALIZADO;PENDENCIAS;VOLUME FATURADO;TRANSPORTADFORA;FATURAMENTO;EMBARQUE;Coluna2
24/07/2026;B;THIAGO;FM;FM;TONS;1079;1079;100%;;1079;;REALIZADO;REALIZADO;
24/07/2026;B;THIAGO;FM;FM;TONS;23738;23738;100%;;23738;;REALIZADO;REALIZADO;
24/07/2026;B;THIAGO;FM;FM;TONS;3884;3884;100%;;3884;;REALIZADO;REALIZADO;
24/07/2026;B;THIAGO;FM;FM;TONS;28054;28054;100%;;28054;;REALIZADO;REALIZADO;
24/07/2026;B;THIAGO;FM;FM;TONS;28054;28054;100%;;28054;;REALIZADO;REALIZADO;
25/07/2026;B;THIAGO;FM;FM;TONS;19422;19422;100%;;19422;;REALIZADO;REALIZADO;
25/07/2026;;;FM;FM;TONS;23.738,00;;;;;;;;
26/07/2026;;;FM;FM;TONS;28.054,00;;;;;;;;
26/07/2026;;;FM;FM;TONS;28.054,00;;;;;;;;
27/07/2026;;;FM;FM;TONS;6.961,00;;;;;;;;
27/07/2026;;;FM;FM;TONS;1.668,00;;;;;;;;
27/07/2026;;;FM;FM;TONS;5.416,00;;;;;;;;
27/07/2026;;;FM;FM;TONS;1.079,00;;;;;;;;
27/07/2026;;;FM;FM;TONS;1.618,00;;;;;;;;
24/07/2026;B;THIAGO;FOB;FOB;TONS;9446,4;9446,4;100%;;9446;;REALIZADO;REALIZADO;
24/07/2026;B;THIAGO;GRANEL;;TONS;14770;14770;100%;;14770;JSL;REALIZADO;REALIZADO;
24/07/2026;B;THIAGO;FLOOR;;PAL;50;50;100%;;;;;;
25/07/2026;A;TATIANE;GM;C.O;TONS;34.189,00;34.189,00;100%;;34.189,00;;REALIZADO;PENDENTE;AGUARDANDO EMBARQUE
25/07/2026;;;FOB;FOB;TONS;10.321,00;10.321,00;100%;;;;PENDENTE;PENDENTE;STA 27/07
25/07/2026;A;TATIANE;GM;RJ;TONS;18.504,00;18.504,00;100%;;18504;;REALIZADO;PENDENTE;RJ 01
